slug,name,source,author,ownership,installs,avg,reviews,one_star_pct,low_pct,five_star_pct,threads_2mo,unresolved_pct,last_updated,days_stale,added,tags,one_star_scraped,one_star_last_12mo,one_star_12_24mo,one_star_recent_share_pct,one_star_titles_recent,dl_yesterday,dl_7d,dl_all,version_split,polarized,pre_score,enriched,seam_score
wp-user-frontend,"User Frontend – Membership, User Registration, User Profile,",membership,wedevs,indie?,20000,4.1,534,16.9,20.0,71.3,2,0.0,2026-08-25,17,2011-01-10,"frontend-post,membership,user-directory,user-profile,user-registration",60,2,5,3.3,Update ruined this plugin for me | NEVER NEVER recommend,248,1857,1977412,4.3:55.5%; 4.0:9.7%; 4.1:9.6%; 4.2:7.8%,False,40.4,True,0.9
mailchimp-for-woocommerce,Mailchimp for WooCommerce,popular,mailchimp,captive/rollup,200000,4.0,725,21.7,24.8,69.5,4,25.0,2026-08-07,35,2016-10-06,"ecommerce,email,mailchimp,workflows",60,2,6,3.3,doesn’t work and support can’t fix it | Not good value for money,1328,9326,24013867,6.2:47.9%; other:31.1%; 6.1:8.7%; 2.5:6.5%,False,66.7,True,0.8
woocommerce-services,WooCommerce Tax (formerly WooCommerce Shipping - Tax),popular,woocommerce,captive/rollup,500000,2.0,105,65.7,72.4,20.0,1,0.0,2026-09-07,4,2017-01-28,"gst,payment,tax,vat,woocommerce",60,1,4,1.7,Hidden Jetpack dependency and blocked for “regulated” stores,8117,309768,52722386,3.6:58.8%; other:34.1%; 2.8:7.1%,False,46.3,True,0.7
php-compatibility-checker,PHP Compatibility Checker,popular,wpengine,captive/rollup,200000,2.7,131,50.4,58.8,35.1,0,,2026-07-20,53,2016-06-29,"compat,php,php-7,php-8,version",60,1,1,1.7,"Con WP5.1 y PHP7.4, falla",264,1768,3048950,1.6:85.2%; 1.5:13.6%; 1.4:1.2%,True,28.0,True,0.4
wp-user-avatar,"Paid Membership Plugin, Ecommerce, User Registration Form, L",popular,properfraction,captive/rollup,100000,3.1,938,44.5,46.5,50.1,1,0.0,2026-09-05,6,2013-01-14,"ecommerce,membership,memberships,user-profile,user-registration",60,1,1,1.7,Not the same plugin,1448,40243,15475195,4.17:31.4%; other:22.6%; 4.16:19.5%; 2.2:17.6%,True,125.2,True,0.3
google-analytics-dashboard-for-wp,ExactMetrics - Google Analytics Dashboard for WordPress (Web,popular,smub,captive/rollup,300000,2.5,1546,59.9,61.4,34.9,1,0.0,2026-09-03,8,2013-03-12,"analytics,google-analytics,google-analytics-dashboard,google-analytics-plugin,website-stats",30,0,0,0.0,,3720,117709,52569553,other:39.9%; 10.2:25.6%; 10.1:16.9%; 5.3:11.9%,False,481.2,True,0.0
download-manager,Download Manager,popular,codename065,indie?,100000,4.1,1007,16.8,20.1,73.1,6,50.0,2026-08-21,21,2010-02-10,"digital-store,document-management,download-manager,ecommerce,file-manager",30,0,0,0.0,,784,5484,11407731,3.3:73.6%; 3.2:15.9%; other:10.6%,False,169.2,True,0.0
wordpress-importer,WordPress Importer,popular,wordpressdotorg,captive/rollup,2000000,3.1,327,34.3,43.4,39.4,1,100.0,2026-08-27,15,2010-05-20,importer,30,0,0,0.0,,28376,191445,71121989,0.9:60.6%; 0.8:22.6%; 0.6:8.5%; 0.7:8.3%,True,150.5,True,0.0
advanced-access-manager,Advanced Access Manager – Access Governance for WordPress,popular,vasyltech,indie?,100000,4.2,420,15.7,17.6,73.8,4,100.0,2026-09-08,3,2011-07-30,"access-governance,api-security,restricted-content,security,user-roles",30,0,0,0.0,,2972,41346,7618877,7.1:54.5%; 6.9:20.3%; 7.0:13.4%; other:11.8%,False,65.9,True,0.0
ocean-extra,Ocean Extra,popular,oceanwp,indie?,500000,3.3,67,34.3,43.3,55.2,1,100.0,2026-09-10,1,2016-10-23,"meta-box,metabox,metaboxes,oceanwp,widgets",23,0,0,0.0,,87972,265838,28175184,2.5:39.1%; 2.6:26.1%; other:18.3%; 2.4:10.4%,True,51.4,True,0.0
sucuri-scanner,"Sucuri Security - Auditing, Malware Scanner and Security Har",popular,sucuri,captive/rollup,600000,4.2,384,16.7,17.7,74.5,1,0.0,2026-09-09,2,2011-11-18,"firewall,malware,scan,security,spam",30,0,0,0.0,,246781,392411,36735245,2.8:38.5%; 2.7:29.2%; 1.8:14.3%; other:12.5%,False,47.1,True,0.0
amp,AMP,popular,westonruter,captive/rollup,400000,3.8,367,21.3,26.7,60.8,2,50.0,2025-04-10,519,2015-10-08,"amp,mobile,optimization,page-experience,performance",60,0,1,0.0,,1743,9641,16596324,2.5:92.1%; other:7.9%,False,46.9,True,0.0
wp-clone-by-wp-academy,Clone,backup,migrate,indie?,40000,4.1,339,18.9,21.5,73.7,0,,2025-10-30,316,2012-12-20,"backup,clone,duplicate,migrate,restore",30,0,0,0.0,,126,708,3474525,2.4:65.9%; 2.2:19.4%; 2.3:12.3%; 2.1:2.4%,False,40.5,True,0.0
advanced-nocaptcha-recaptcha,CAPTCHA 4WP - Antispam CAPTCHA solution for WordPress,popular,wpkube,captive/rollup,100000,3.2,269,41.3,44.2,51.3,3,100.0,2026-08-25,17,2015-04-27,"antispam-protection,captcha,cloudflare-turnstile,hcaptcha,recaptcha",60,0,1,0.0,,728,5343,3704640,7.6:60.5%; other:17.9%; 7.5:12.4%; 6.1:9.1%,True,33.3,True,0.0
font-awesome,Font Awesome,popular,fontawesome,indie?,400000,3.6,61,26.2,32.8,59.0,4,75.0,2026-08-13,29,2012-09-18,"fontawesome,icon,iconfont,svg-icon,webfont",16,0,3,0.0,,1582,10251,6560581,5.2:45.0%; 5.1:25.1%; other:11.1%; 4.5:7.5%,True,32.0,True,0.0
visual-form-builder,Visual Form Builder,forms,mmuro,indie?,20000,4.1,318,15.7,21.4,68.9,0,,2022-05-27,1568,2011-06-23,"contact-form,contact-forms,form,forms",50,0,1,0.0,,38,232,1734463,3.1:65.8%; 3.0:17.9%; 2.9:9.2%; 2.8:5.9%,False,22.3,True,0.0
cloudflare,Cloudflare,popular,cloudflare,captive/rollup,200000,3.5,180,28.9,34.4,52.8,3,100.0,2026-07-13,60,2010-10-19,"cloudflare,ddos,seo,speed,ssl",52,0,2,0.0,,2211,12844,9733312,4.14:73.3%; 4.12:18.6%; other:8.1%,True,22.1,True,0.0
woocommerce-square,WooCommerce Square,woocommerce,woocommerce,captive/rollup,80000,2.1,121,67.8,70.2,21.5,7,28.6,2026-08-31,11,2018-01-29,"credit-card,inventory-sync,square,woocommerce",,,,,,,,,,,22.0,False,
wp-migrate-db,WP Migrate Lite - Migration Made Easy,popular,wpengine,captive/rollup,200000,4.2,316,16.1,19.0,78.5,3,100.0,2026-08-19,23,2009-12-13,"clone,export-site,import-site,migrate,push-pull",,,,,,,,,,,21.6,False,
custom-permalinks,Custom Permalinks,popular,sasiddiqui,indie?,100000,4.1,116,18.1,19.8,69.0,2,50.0,2026-08-20,22,2008-11-01,"address,link,permalink,redirect,url",,,,,,,,,,,21.0,False,
event-tickets,Event Tickets and Registration,popular,stellarwp,captive/rollup,90000,3.5,234,29.5,35.5,57.7,11,27.3,2026-09-03,8,2015-12-02,"attendee-management,event-registration,rsvp,ticket-sales,tickets",,,,,,,,,,,19.6,False,
pinterest-for-woocommerce,Pinterest for WooCommerce,popular,woocommerce,captive/rollup,300000,2.3,68,54.4,61.8,22.1,1,100.0,2026-09-09,2,2021-10-25,"marketing,pinterest,pixel,product-catalog-feed,woocommerce",,,,,,,,,,,19.2,False,
woocommerce-google-analytics-integration,Google Analytics for WooCommerce,popular,woocommerce,captive/rollup,100000,2.8,119,51.3,53.8,39.5,4,0.0,2026-09-09,2,2013-11-25,"google-analytics,woocommerce",,,,,,,,,,,18.3,False,
contact-form-7-honeypot,"CF7 Apps – Honeypot, Database, Redirection, Webhook, and Add",popular,saadiqbal,captive/rollup,300000,3.8,135,25.9,30.4,66.7,11,27.3,2026-08-06,36,2011-06-28,"anti-spam,captcha,cf7-database,honeypot,spam-protection",,,,,,,,,,,18.2,False,
hostinger,Hostinger Tools,popular,hostinger,captive/rollup,3000000,3.5,40,27.5,30.0,45.0,1,0.0,2026-08-25,17,2023-11-03,"hostinger,https,maintenance,security,tools",,,,,,,,,,,18.1,False,
foobox-image-lightbox,Lightbox - Modal Popup WordPress Plugin - FooBox,popular,fooplugins,indie?,100000,3.9,95,18.9,24.2,66.3,1,0.0,2026-08-27,15,2014-04-08,"gallery,images,lightbox,modal,popup",,,,,,,,,,,18.0,False,
bbpress,bbPress,popular,johnjamesjacoby,captive/rollup,100000,3.9,342,17.0,23.7,57.6,0,,2026-09-03,8,2010-01-13,"discussion,forum,forums,support",,,,,,,,,,,17.4,False,
pagelayer,Page Builder: Pagelayer - Drag and Drop website builder,popular,softaculous,captive/rollup,400000,3.9,103,25.2,26.2,67.0,2,100.0,2026-09-02,9,2019-04-08,"drag-and-drop,editor,gutenberg-blocks,landing-page,page-builder",,,,,,,,,,,15.6,False,
breeze,Breeze Cache,popular,cloudways,captive/rollup,300000,3.6,126,23.8,35.7,57.9,7,42.9,2026-09-09,2,2017-07-22,"cache,caching,cdn,performance,wp-cache",,,,,,,,,,,15.6,False,
fast-indexing-api,Instant Indexing for Google,popular,rankmath,indie?,200000,3.6,36,30.6,33.3,55.6,1,0.0,2025-11-21,294,2019-09-24,"crawling,fast-indexing,indexing-api,job-posting,live-streaming",,,,,,,,,,,15.6,False,
woocommerce-legacy-rest-api,WooCommerce Legacy REST API,popular,automattic,captive/rollup,400000,1.5,29,79.3,86.2,6.9,1,100.0,2025-01-23,596,2024-01-16,"rest-api,woo,woocommerce",,,,,,,,,,,13.8,False,
mailin,"Brevo - Email, SMS, Web Push, Chat, and more.",popular,neeraj_slit,captive/rollup,100000,4.1,285,16.1,20.0,72.3,5,60.0,2026-06-24,79,2012-09-06,"brevo,email-marketing,forms,newsletter,sendinblue",,,,,,,,,,,13.8,False,
tiktok-for-business,TikTok,popular,tiktokbusinessplugin,captive/rollup,200000,1.8,39,79.5,79.5,20.5,1,100.0,2026-08-11,31,2022-05-10,tiktok,,,,,,,,,,,13.2,False,
link-whisper,Link Whisper Free,seo,linkwhspr,indie?,30000,4.1,145,15.9,21.4,71.7,2,100.0,2026-08-18,24,2020-02-11,"internal-linking,link-building,links,orphan-content,seo",,,,,,,,,,,12.6,False,
simple-301-redirects,Simple 301 Redirects By BetterLinks - Easy WordPress Redirec,popular,wpdevteam,captive/rollup,100000,3.8,162,24.1,26.5,63.0,1,0.0,2026-05-20,114,2009-09-02,"301-redirect,404-error-log,link-shortener,redirect-url,url-redirects",,,,,,,,,,,11.7,False,
one-click-demo-import,One Click Demo Import,popular,smub,captive/rollup,1000000,4.3,79,15.2,15.2,81.0,1,0.0,2026-04-22,142,2016-03-25,"content,import,settings,theme-options,widgets",,,,,,,,,,,11.4,False,
https-redirection,Easy HTTPS Redirection (SSL),popular,mra13,indie?,100000,4.2,71,15.5,15.5,76.1,0,,2026-08-17,25,2014-06-30,"force-ssl,https,insecure-content,redirection,ssl",,,,,,,,,,,11.0,False,
jetformbuilder,JetFormBuilder — Dynamic Blocks Form Builder,forms,jetmonsters,indie?,80000,4.1,70,17.1,18.6,74.3,1,100.0,2026-09-02,9,2021-01-25,"blocks,contact-form,form-builder,forms,gutenberg",,,,,,,,,,,10.7,False,
broken-link-checker-seo,"Broken Link Checker by AIOSEO – Find - Fix Broken Internal, ",popular,aioseo,captive/rollup,300000,3.9,83,24.1,26.5,66.3,1,0.0,2026-08-24,18,2023-03-29,"404,broken-link-checker,broken-links,dead-links,link-checker",,,,,,,,,,,10.4,False,
printful-shipping-for-woocommerce,Printful Integration for WooCommerce,woocommerce,printful,captive/rollup,50000,2.6,96,51.0,59.4,32.3,0,,2026-01-14,240,2014-10-02,"drop-shipping,printful,shipping,shipping-rates,woocommerce",,,,,,,,,,,10.4,False,
enhanced-e-commerce-for-woocommerce-store,"Conversios – GA4, Google Ads - Meta Conversion Tracking with",woocommerce,tatvic,indie?,10000,4.3,204,15.2,16.2,79.9,2,100.0,2026-09-08,3,2014-06-25,"conversion-tracking,facebook-pixel,google-ads,google-analytics,woocommerce",,,,,,,,,,,9.8,False,
woo-permalink-manager,Premmerce Permalink Manager for WooCommerce,woocommerce,premmerce,indie?,50000,3.9,53,24.5,26.4,69.8,2,100.0,2026-06-25,78,2017-08-31,"remove-product,remove-product_category,woocommerce,woocommerce-permalink,woocommerce-url",,,,,,,,,,,9.2,False,
contact-form-7-simple-recaptcha,LukasApps CAPTCHA tools for Contact Form 7,popular,247wd,indie?,100000,4.1,48,18.8,20.8,72.9,0,,2026-09-03,8,2015-02-20,"captcha,cloudflare-turnstile,contact-form-7,hcaptcha,recaptcha",,,,,,,,,,,9.0,False,
disable-xml-rpc,Disable XML-RPC,popular,philerb,indie?,200000,4.2,33,18.2,21.2,78.8,0,,2026-05-27,107,2012-09-28,xmlrpc,,,,,,,,,,,8.5,False,
all-404-redirect-to-homepage,All 404 Redirect to Homepage,popular,wp-buy,captive/rollup,200000,4.1,96,19.8,20.8,76.0,1,0.0,2026-08-21,21,2014-03-19,"404-error,broken-images,redirection,seo-redirect",,,,,,,,,,,8.1,False,
sumup-payment-gateway-for-woocommerce,SumUp Payment Gateway For WooCommerce,woocommerce,sumup,indie?,10000,2.2,40,62.5,67.5,22.5,4,100.0,2026-07-06,67,2020-04-02,"ecommerce,payment-gateway,payments,sumup,woocommerce",,,,,,,,,,,7.9,False,
seo-image,SEO Friendly Images,seo,freediver,indie?,10000,3.0,59,42.4,49.2,45.8,0,,2017-11-28,3209,2008-03-04,"admin,google,images,post,seo",,,,,,,,,,,7.9,False,
wp-time-capsule,Backup and Staging by WP Time Capsule,backup,revmakx,indie?,10000,4.0,128,18.8,24.2,69.5,1,100.0,2026-06-10,93,2014-11-11,"auto-updates,backup,backup-before-update,migration,staging",,,,,,,,,,,7.6,False,
seo-ultimate,SEO Ultimate,seo,seo-design-solutions,indie?,10000,3.8,98,23.5,24.5,55.1,0,,2016-11-03,3599,2009-05-22,"google,seo,seo-ultimate,suite,yahoo",,,,,,,,,,,7.3,False,
